any,districte,seccio,sexe,codi_nivell_estudis,nivell_estudis,data_naixement,codi_municipi_naixement,municipi_pais_naixement,codi_provincia_naixement,provincia_naixement,codi_nacionalitat,nacionalitat,data_alta,codi_municipi_procedencia,municipi_pais_procedencia,codi_provincia_procedencia,provincia_procedencia
2020,6,2,HOME,42,"BATXILLER SUPERIOR, BUP",1981,228,MARRUECOS,66,EXTRANJERO,228,MARRUECOS,04/01/2007,124,MOLLET DEL VALLES,8,BARCELONA
2020,6,3,DONA,42,"BATXILLER SUPERIOR, BUP",1992,79,GIRONA,17,GIRONA,108,ESPAÑA,18/04/2013,25,BORDILS,17,GIRONA
2020,6,3,HOME,42,"BATXILLER SUPERIOR, BUP",1966,187,SABADELL,8,BARCELONA,108,ESPAÑA,07/05/1998,19,BARCELONA,8,BARCELONA
2020,6,4,HOME,31,"BATX. ELEM., GRADUAT, ESO",1963,116,OSOR,17,GIRONA,108,ESPAÑA,07/05/1998,155,SALT,17,GIRONA
2020,6,5,DONA,44,DIPLOMAT ESCOLA UNIVERS.,1986,89,LLAGOSTERA,17,GIRONA,108,ESPAÑA,22/10/2009,89,LLAGOSTERA,17,GIRONA
2020,6,5,DONA,31,"BATX. ELEM., GRADUAT, ESO",1927,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2020,6,5,DONA,32,FORMACIÓ PROFESS 1ER GRAU,1931,7,AMER,17,GIRONA,108,ESPAÑA,01/05/1996,7,AMER,17,GIRONA
2020,6,6,HOME,46,LLICENCIAT O GRAU UNIVER.,1960,298,VIC,8,BARCELONA,108,ESPAÑA,04/03/2010,278,TARADELL,8,BARCELONA
2020,6,6,HOME,22,PRIMÀRIA INCOMPLETA,2001,298,VIC,8,BARCELONA,108,ESPAÑA,04/03/2010,278,TARADELL,8,BARCELONA
2020,6,6,DONA,46,LLICENCIAT O GRAU UNIVER.,1963,55,PRIEGO DE CORDOBA,14,CÓRDOBA,108,ESPAÑA,04/03/2010,278,TARADELL,8,BARCELONA
2020,6,7,DONA,31,"BATX. ELEM., GRADUAT, ESO",1995,298,VIC,8,BARCELONA,108,ESPAÑA,04/03/2010,278,TARADELL,8,BARCELONA
2020,6,7,DONA,42,"BATXILLER SUPERIOR, BUP",1971,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2020,6,7,HOME,11,NI LLEGIR NI ESCRIURE,2001,79,GIRONA,17,GIRONA,108,ESPAÑA,24/01/2001,79,GIRONA,17,GIRONA
2020,6,7,DONA,11,NI LLEGIR NI ESCRIURE,2002,79,GIRONA,17,GIRONA,108,ESPAÑA,10/04/2002,79,GIRONA,17,GIRONA
2020,6,7,DONA,46,LLICENCIAT O GRAU UNIVER.,1976,169,S.JULIA RAMIS,17,GIRONA,108,ESPAÑA,01/05/1996,169,S.JULIA RAMIS,17,GIRONA
2021,1,1,DONA,11,NI LLEGIR NI ESCRIURE,2008,79,GIRONA,17,GIRONA,108,ESPAÑA,17/01/2008,79,GIRONA,17,GIRONA
2021,1,2,HOME,41,FORMACIÓ PROFESS 2ON GRAU,1973,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,1,3,DONA,46,LLICENCIAT O GRAU UNIVER.,1969,22,LA BISBAL D'EMPORDA,17,GIRONA,108,ESPAÑA,24/08/2001,22,LA BISBAL D'EMPORDA,17,GIRONA
2021,1,4,HOME,11,NI LLEGIR NI ESCRIURE,2005,79,GIRONA,17,GIRONA,108,ESPAÑA,11/08/2005,,,,
2021,1,4,DONA,42,"BATXILLER SUPERIOR, BUP",1970,66,FIGUERES,17,GIRONA,108,ESPAÑA,04/08/1997,66,FIGUERES,17,GIRONA
2021,1,5,HOME,44,DIPLOMAT ESCOLA UNIVERS.,1978,180,S. COLOMA DE FARNERS,17,GIRONA,108,ESPAÑA,29/05/2013,180,S. COLOMA DE FARNERS,17,GIRONA
2021,1,5,DONA,44,DIPLOMAT ESCOLA UNIVERS.,1983,152,ROSES,17,GIRONA,108,ESPAÑA,13/09/2010,152,ROSES,17,GIRONA
2021,2,1,DONA,41,FORMACIÓ PROFESS 2ON GRAU,1964,19,BARCELONA,8,BARCELONA,108,ESPAÑA,20/03/2013,123,PALOL REVARDIT,17,GIRONA
2021,2,1,DONA,31,"BATX. ELEM., GRADUAT, ESO",1997,79,GIRONA,17,GIRONA,108,ESPAÑA,20/03/2013,123,PALOL REVARDIT,17,GIRONA
2021,2,1,DONA,22,PRIMÀRIA INCOMPLETA,2002,79,GIRONA,17,GIRONA,108,ESPAÑA,20/03/2013,123,PALOL REVARDIT,17,GIRONA
2021,2,2,DONA,43,ALTRES TÍTOLS DE GRAU MIG,1979,30,A CORUÑA,15,LA CORUÑA,108,ESPAÑA,15/10/2010,30,A CORUÑA,15,LA CORUÑA
2021,2,3,DONA,46,LLICENCIAT O GRAU UNIVER.,1973,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,3,1,DONA,32,FORMACIÓ PROFESS 1ER GRAU,1981,102,IGUALADA,8,BARCELONA,108,ESPAÑA,08/09/2003,50,<20,25,LLEIDA
2021,3,1,DONA,22,PRIMÀRIA INCOMPLETA,1947,30,MURCIA,30,MURCIA,108,ESPAÑA,01/05/1996,186,SARRIÀ DE TER,17,GIRONA
2021,3,2,DONA,22,PRIMÀRIA INCOMPLETA,1988,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,3,3,HOME,31,"BATX. ELEM., GRADUAT, ESO",1976,186,SARRIÀ DE TER,17,GIRONA,108,ESPAÑA,01/05/1996,186,SARRIÀ DE TER,17,GIRONA
2021,3,4,HOME,32,FORMACIÓ PROFESS 1ER GRAU,1978,27,BREDA,17,GIRONA,108,ESPAÑA,04/01/2013,27,BREDA,17,GIRONA
2021,3,4,HOME,40,"BATXILLER,FPII O SUPERIOR",1959,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,117,PALAFRUGELL,17,GIRONA
2021,4,1,DONA,40,"BATXILLER,FPII O SUPERIOR",1956,110,FRANCIA,66,EXTRANJERO,110,FRANCIA,01/05/1996,110,FRANCIA,66,EXTRANJERO
2021,4,2,HOME,42,"BATXILLER SUPERIOR, BUP",1990,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,4,2,DONA,46,LLICENCIAT O GRAU UNIVER.,1981,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,4,2,DONA,46,LLICENCIAT O GRAU UNIVER.,1988,19,BARCELONA,8,BARCELONA,108,ESPAÑA,17/09/2012,89,GAVÀ,8,BARCELONA
2021,4,3,DONA,40,"BATXILLER,FPII O SUPERIOR",1930,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,5,1,DONA,40,"BATXILLER,FPII O SUPERIOR",1929,79,GIRONA,17,GIRONA,112,HUNGRIA,01/05/1996,79,GIRONA,17,GIRONA
2021,5,1,DONA,40,"BATXILLER,FPII O SUPERIOR",1926,87,GRANADA,18,GRANADA,108,ESPAÑA,01/05/1996,87,GRANADA,18,GRANADA
2021,5,1,HOME,42,"BATXILLER SUPERIOR, BUP",1971,79,GIRONA,17,GIRONA,108,ESPAÑA,28/08/1998,48,CASTELL D'ARO,17,GIRONA
2021,5,1,DONA,31,"BATX. ELEM., GRADUAT, ESO",1937,48,CASTELL D'ARO,17,GIRONA,108,ESPAÑA,28/08/1998,48,CASTELL D'ARO,17,GIRONA
2021,5,2,HOME,31,"BATX. ELEM., GRADUAT, ESO",1934,79,GIRONA,17,GIRONA,108,ESPAÑA,28/08/1998,48,CASTELL D'ARO,17,GIRONA
2021,5,2,DONA,31,"BATX. ELEM., GRADUAT, ESO",1989,302,ESTADOS UNIDOS DE AMÉRICA,66,EXTRANJERO,115,ITALIA,06/07/2006,79,GIRONA,17,GIRONA
2021,5,3,HOME,42,"BATXILLER SUPERIOR, BUP",1976,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,5,4,HOME,42,"BATXILLER SUPERIOR, BUP",1968,69,DONOSTIA/SAN SEBASTIÁN,20,GUIPÚZCOA,108,ESPAÑA,15/01/2007,902,<20,20,GUIPÚZCOA
2021,6,1,DONA,42,"BATXILLER SUPERIOR, BUP",1967,79,GIRONA,17,GIRONA,108,ESPAÑA,07/09/2009,15,BANYOLES,17,GIRONA
2021,6,1,DONA,42,"BATXILLER SUPERIOR, BUP",1985,79,GIRONA,17,GIRONA,108,ESPAÑA,02/02/2007,155,SALT,17,GIRONA
2021,6,2,HOME,42,"BATXILLER SUPERIOR, BUP",1981,298,VIC,8,BARCELONA,108,ESPAÑA,27/07/2010,278,TARADELL,8,BARCELONA
2021,6,2,HOME,46,LLICENCIAT O GRAU UNIVER.,1982,77,ESPLUGUES LLOBREGAT,8,BARCELONA,108,ESPAÑA,27/07/2010,221,SANT JUST DESVERN,8,BARCELONA
2021,6,3,HOME,31,"BATX. ELEM., GRADUAT, ESO",1975,187,SABADELL,8,BARCELONA,108,ESPAÑA,20/02/1997,51,<20,43,TARRAGONA
2021,6,3,DONA,46,LLICENCIAT O GRAU UNIVER.,1988,79,GIRONA,17,GIRONA,108,ESPAÑA,22/09/2011,15,BANYOLES,17,GIRONA
2021,6,4,HOME,22,PRIMÀRIA INCOMPLETA,1920,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,6,5,DONA,42,"BATXILLER SUPERIOR, BUP",1991,342,BRASIL,66,EXTRANJERO,108,ESPAÑA,12/09/2005,342,BRASIL,66,EXTRANJERO
2021,6,5,DONA,40,"BATXILLER,FPII O SUPERIOR",1951,30,A CORUÑA,15,LA CORUÑA,108,ESPAÑA,01/05/1996,30,A CORUÑA,15,LA CORUÑA
2021,6,5,HOME,42,"BATXILLER SUPERIOR, BUP",1951,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,6,6,HOME,31,"BATX. ELEM., GRADUAT, ESO",1989,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,6,6,HOME,31,"BATX. ELEM., GRADUAT, ESO",1936,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2021,6,6,HOME,47,TÍTOL SUP NO UNIVERSITARI,1987,19,BARCELONA,8,BARCELONA,108,ESPAÑA,10/10/2011,19,BARCELONA,8,BARCELONA
2021,6,6,DONA,32,FORMACIÓ PROFESS 1ER GRAU,1975,19,BARCELONA,8,BARCELONA,108,ESPAÑA,19/07/2002,142,QUART,17,GIRONA
2021,6,6,HOME,11,NI LLEGIR NI ESCRIURE,2000,79,GIRONA,17,GIRONA,108,ESPAÑA,15/12/2000,79,GIRONA,17,GIRONA
